제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
동동고 편하노,,"바뀐뒤로 일상이 궁금하다 게이야
- dc official App","동갤러(125.178) 2025.04.05 01:48:00
조회 79 추천 0 댓글 0",추천 0,조회 79,2025.04.05 01:48:00,https://gall.dcinside.com/mgallery/board/view/?id=dwgirlshighschool&no=120&page=1
..,,..,"ㅇㅇ(175.118) 2024.09.13 16:55:29
조회 199 추천 0 댓글 1",추천 0,조회 199,2024.09.13 16:55:29,https://gall.dcinside.com/mgallery/board/view/?id=dwgirlshighschool&no=118&page=1
1지망에 동우 쓰면 떨어지나요,,ㅈㄱㄴ,"동갤러(118.220) 2024.01.31 17:53:49
조회 428 추천 0 댓글 3",추천 0,조회 428,2024.01.31 17:53:49,https://gall.dcinside.com/mgallery/board/view/?id=dwgirlshighschool&no=116&page=1
우민여고,,우민우민우민우민우민,"동갤러(14.5) 2023.11.08 22:47:45
조회 260 추천 0 댓글 1",추천 0,조회 260,2023.11.08 22:47:45,https://gall.dcinside.com/mgallery/board/view/?id=dwgirlshighschool&no=115&page=1
